name,carbon_2007,latitude,energy_2000,country,parentcomp_id,carbon_2000,carbon_nextdecade,intensity_2007,company_id,plant_id,longitude,intensity_nextdecade,city_name,energy_2007,energy_nextdecade,intensity_2000,state,state_code,is_renewable,intensity_category,carbon_change_2000_2007,carbon_change_2007_future,energy_change_2000_2007,energy_change_2007_future,carbon_growing,carbon_declining,is_high_emitter,is_clean_plant,size_category,region,intensity_category_low,intensity_category_medium,intensity_category_unknown,size_category_medium,size_category_small,size_category_zero,state_Australian CapitalTerritory,state_AustralianCapital Territory,state_AustralianCapitalTerritory,state_New SouthWales,state_NewSouthWales,state_NorthernTerritory,state_Queensland,state_SouthAustralia,state_Tasmania,state_Victoria,state_WesternAustralia,region_Queensland,region_Tasmania,region_Victoria,company_plants_count,parent_plants_count
HAZELWOOD,23609.17725,-38.23,60647.79775,Australia,Unknown,15880.16725,35315.901,2706.7371,INTERNATIONAL POWERAUSTRALIA,17280,146.4,2706.7371,Morwell,102063.5887,192756.11575000003,2518.24,Victoria,VIC,0,high,7729.01,11706.723749999997,41415.790949999995,90692.52705000003,1,0,1,0,large,Victoria,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,382
HIGHBURYLANDFILL,939.8486,-33.06667,1861.39,Australia,Unknown,848.4835,939.8486,981.3362,ENERGY DEVELOPMENTS LTD(EDL),17759,117.25,981.3362,Highbury,1915.447,1915.447,911.6667,SouthAustralia,SouthAustralia,0,medium,91.36509999999998,0.0,54.05699999999979,0.0,1,0,1,0,medium,Other,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,13,382
HOBARTSMELTER,20457.9004,-42.85,10114.96,Australia,Unknown,15880.16725,20457.9004,3968.6741,ZINIFEXLTD,18031,147.29,3968.6741,Hobart,10309.6904,10309.6904,4440.1938,Tasmania,TAS,0,high,4577.733149999998,0.0,194.73040000000037,0.0,1,0,1,0,medium,Tasmania,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,382
HOMEBUSHWETLANDS,41.1293,-33.86666,90.4634,Australia,Unknown,18.5337,41.1293,746.5128,SYDNEY WATERCORP,18277,151.0833,746.5128,Homebush,110.1904,110.1904,409.7501,NewSouthWales,NewSouthWales,0,medium,22.5956,0.0,19.727000000000004,0.0,1,0,0,0,small,Other,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,382
HOPETOUN,509.719,-33.95,539.7479,Australia,Unknown,493.3628,1410.615,687.0068,HORIZONPOWER,18361,120.1167,804.8604,Hopetoun,1483.8831,3505.241,1828.123,WesternAustralia,WesternAustralia,0,medium,16.3562,900.896,944.1352,2021.3579,1,0,0,0,medium,Other,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,382
HUME,0.0,-36.08,60647.79775,Australia,Unknown,0.0,0.0,0.0,ERARINGENERGY,18874,146.91,0.0,Albury,101253.7969,101253.7969,0.0,New SouthWales,New SouthWales,1,unknown,0.0,0.0,40605.99915,0.0,0,0,0,1,large,Other,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7,382
INKERMAN MILL,0.0,-19.66667,23103.9199,Australia,Unknown,0.0,0.0,0.0,CSRSUGAR,19451,147.4167,0.0,HomeHill,23589.7793,23589.7793,0.0,Queensland,QLD,1,unknown,0.0,0.0,485.85939999999755,0.0,0,0,0,1,medium,Queensland,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,7,382
INVICTA SUGAR MILL,0.0,-19.51667,60647.79775,Australia,Unknown,0.0,0.0,0.0,CSRSUGAR,19539,147.1,0.0,Giru,102063.5887,117948.8984,0.0,Queensland,QLD,1,unknown,0.0,0.0,41415.790949999995,15885.309700000013,0,0,0,1,large,Queensland,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,7,382
ISISERGON,0.0,-25.25,0.0,Australia,Unknown,0.0,0.0,0.0,ERGON ENERGYCORPLTD,19702,152.2667,0.0,Childers,0.0,60153.9297,0.0,Queensland,QLD,1,unknown,0.0,0.0,0.0,60153.9297,0,0,0,1,zero,Queensland,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,4,382
ISIS MILL,368.0125,-25.25,25241.0508,Australia,Unknown,476.6813,368.0125,28.6577,ISIS CENTRAL MILLCOLTD,19703,152.2667,28.6577,Childers,25683.3203,25683.3203,37.7703,Queensland,QLD,0,low,-108.66880000000003,0.0,442.2694999999985,0.0,0,1,0,0,medium,Queensland,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1,382
