state_Qld,state_NSW,state_NT,state_WA,state_Vic,state_SA,state_Tas,state_ACT,tenure_PRIV,tenure_LEASE,tenure_NCR,tenure_OCL,tenure_MUF,tenure_ND,prior_burns,pixel_count,fires,fire_rate
0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,24,4,0.16666666666666666
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,45,0,0.0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,85,0,0.0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,63,1,0.015873015873015872
0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,26,0,0.0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,5,0,0.0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,64,0,0.0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,165,0,0.0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,79,2,0.02531645569620253
0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,32,0,0.0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,9,0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,86,0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,149,2,0.013422818791946308
0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,115,9,0.0782608695652174
0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,30,4,0.13333333333333333
0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0.0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0.0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,236,0,0.0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,515,14,0.027184466019417475
0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,689,52,0.07547169811320754
0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,457,96,0.2100656455142232
0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,134,36,0.26865671641791045
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,85,0,0.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,112,0,0.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,146,15,0.10273972602739725
0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,101,22,0.21782178217821782
0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,29,8,0.27586206896551724
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,64,0,0.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,406,0,0.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1009,43,0.04261645193260654
0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1273,154,0.12097407698350353
0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,873,216,0.24742268041237114
0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,254,90,0.3543307086614173
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,72,0,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,556,0,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1566,75,0.04789272030651341
0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2342,331,0.14133219470538003
0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1578,454,0.2877059569074778
0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,441,200,0.45351473922902497
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,51,0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,82,0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,244,0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,127,3,0.023622047244094488
0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,24,0,0.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,94,0,0.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,228,0,0.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,81,0,0.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,11,0,0.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,97,0,0.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,408,0,0.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,165,1,0.006060606060606061
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,10,0,0.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0,0.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,86,0,0.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,24,0,0.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,102,0,0.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,408,0,0.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,200,6,0.03
