mtow,engnum,yearmanu,manu_freq,aircraft_age,is_aeroplane,is_rotorcraft,is_full_registration,mark
-0.15016106982663394,-0.16680615963157205,1.7325393532095728,-0.7847239706444795,-1.7325393532095728,0.6117891391841995,-0.44724592380415307,0.01735786769609303,22A
-0.19458668721158018,-0.16680615963157205,0.7296197186518107,0.11949448693636182,-0.7296197186518107,-1.634550102235334,2.235906347662757,0.01735786769609303,22V
-0.07242722496612956,1.6903247926716467,1.7325393532095728,-0.9652629550140325,-1.7325393532095728,-1.634550102235334,2.235906347662757,0.01735786769609303,4QP
-0.07242722496612956,1.6903247926716467,1.7325393532095728,-0.9652629550140325,-1.7325393532095728,-1.634550102235334,2.235906347662757,0.01735786769609303,5QP
-0.07242722496612956,1.6903247926716467,1.637023197537405,-0.9652629550140325,-1.637023197537405,-1.634550102235334,2.235906347662757,0.01735786769609303,6QP
0.09697015883106903,-0.16680615963157205,1.589265119701321,-0.8266212033040804,-1.589265119701321,0.6117891391841995,-0.44724592380415307,0.01735786769609303,82A
-0.15016106982663394,-0.16680615963157205,1.637023197537405,-0.7847239706444795,-1.637023197537405,0.6117891391841995,-0.44724592380415307,0.01735786769609303,82C
-0.07471222210165597,1.6903247926716467,0.061006628946636145,-0.9728806336794145,-0.061006628946636145,-1.634550102235334,2.235906347662757,0.01735786769609303,82D
0.015369395741212278,1.6903247926716467,-0.03450952672553166,-0.9431716868844247,0.03450952672553166,-1.634550102235334,2.235906347662757,0.01735786769609303,82E
-0.19555341676891827,-0.16680615963157205,1.6847812753734888,0.36859257929435263,-1.6847812753734888,0.6117891391841995,-0.44724592380415307,0.01735786769609303,82F
-0.16039961468389652,-0.16680615963157205,0.7773777964878946,1.665121488142366,-0.7773777964878946,0.6117891391841995,-0.44724592380415307,0.01735786769609303,82G
-0.08130355999259756,1.6903247926716467,0.061006628946636145,-0.9782130087451818,-0.061006628946636145,-1.634550102235334,2.235906347662757,0.01735786769609303,82H
0.015281511235999724,1.6903247926716467,1.2072004970126498,-0.9127009722228968,-1.2072004970126498,-1.634550102235334,2.235906347662757,0.01735786769609303,82J
