id,year_scaled,kilometers_scaled,cc_scaled,seating_capacity_scaled,decade_1980s,decade_1990s,decade_2000s,decade_2010s,decade_2020s,gearbox_Automatic,gearbox_Manual,fuel_Diesel,fuel_Premium Unleaded Petrol,fuel_Unleaded Petrol,fuel_Premium Unleaded/Electric,fuel_Unleaded Petrol/Electric,status_Demo,status_New In Stock,status_Used,price
12781228,0.3216525374020173,0.46444651047573593,0.32219313954925327,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,31400.0
12781239,0.533445533332243,-0.14469529386203395,-0.004342817886051884,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,32888.0
12781251,-0.5255194463188853,-0.37841334034191565,-0.7866685492414706,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,14400.0
12781260,0.533445533332243,0.13943740412521402,0.8006590216245963,-2.777566983217997,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,42975.0
12781264,1.3806175170531456,-1.2827183793928916,-1.6925790700428902,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0.0,0,38880.0
12781272,1.1688245211229198,-1.1887411910748928,0.29611561517073937,-0.9947035283374303,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,74888.0
12781280,0.10985954147179167,-0.7680760661267733,1.6895624613095936,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,1,114800.0
12781373,0.533445533332243,0.11981374352367877,0.32219313954925327,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,39830.0
12781388,-0.9491054381793366,-0.13059311951340213,-0.5633088839124597,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,19800.0
12781389,-0.7373124422491109,1.007778167853224,-0.33201258072911854,1.6795916539834201,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,18800.0
12781403,0.3216525374020173,-0.1594316929829587,0.7983914108090734,-0.9947035283374303,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,27388.0
12781404,-1.1608984341095623,0.9546773878984994,1.4582661581262526,-0.9947035283374303,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0.0,1,21700.0
12781413,0.7452385292624686,-0.7284556715282363,-1.2435921285693454,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,1,41990.0
12781417,-0.5255194463188853,-0.3864468541242932,-0.5939216299220196,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,18888.0
12781432,0.9570315251926943,-0.8329659653782377,0.5750317454800625,1.6795916539834201,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.0,1,56830.0
12781436,-0.5255194463188853,1.2214248656570108,-0.33314638613688,-2.777566983217997,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,17999.0
12781447,-0.3137264503886596,1.0619359890951037,-0.004342817886051884,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,19990.0
12781448,0.533445533332243,-0.7373348183403379,-0.004342817886051884,1.6795916539834201,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,29990.0
12781460,0.533445533332243,-0.4632626662508352,0.006995236191562879,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,31911.0
12781465,-0.10193345445843398,0.921100782306519,0.29611561517073937,1.6795916539834201,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,39000.0
12781472,0.10985954147179167,-0.5467689279360755,0.006995236191562879,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,39990.0
12781483,-0.7373124422491109,1.4560880314054077,-0.016814677371428124,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1,18990.0
12781487,-0.3137264503886596,2.1609480332400195,0.002460014560516973,-0.10327180089714683,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,1,12500.0
