id,brand,model,variant,series,year,decade,price,price_bracket,kilometers,odometer_category,type,gearbox,fuel,status,cc,color,seating_capacity
12791141,Volkswagen,Touareg,150 TDI Element,7P MY17,2017,2010s,38800.0,mid_range,138592.0,high,Wagon,Automatic,Diesel,Used,2967.0,Silver,5
12791153,Toyota,Landcruiser,GXL (4X4),VDJ79R,2019,2010s,117850.0,luxury,11687.0,low,Double Cab Chassis,Manual,Diesel,Used,4461.0,Grey,5
12791156,Subaru,Forester,2.0E-L Hybrid (awd),MY20,2020,2020s,47750.0,mid_range,49487.0,moderate,Wagon,Automatic,Unleaded Petrol/Electric,Used,1995.0,Blue,5
12791165,Holden,Colorado,LS (4X2),RG MY18,2018,2010s,39975.0,mid_range,61042.0,average,Crew Cab Chassis,Manual,Diesel,Used,2776.0,White,5
12791170,Nissan,Pathfinder,ST (4X4),R51 Series 4,2012,2010s,19489.0,economy,218000.0,very_high,Wagon,Automatic,Diesel,Used,2488.0,Black,7
12791175,Subaru,Outback,AWD Touring,MY22,2022,2020s,54990.0,premium,11386.0,low,Wagon,Automatic,Unleaded Petrol,Used,2498.0,Blue,5
12791206,Ford,Ranger,Wildtrak 2.0 (4X4),PX Mkiii MY19,2019,2010s,58690.0,premium,62011.0,average,Double Cab Pick Up,Automatic,Diesel,Used,1996.0,Black,5
12791208,Toyota,Hilux,Workmate (4X4),GUN125R,2017,2010s,43990.0,mid_range,126230.0,high,Dual Cab Utility,Manual,Diesel,Used,2393.0,White,5
12791229,Honda,Civic,GLI,7TH GEN,2002,2000s,3000.0,budget,194000.0,high,Sedan,Automatic,Unleaded Petrol,Used,1668.0,Red,5
12791245,Holden,Captiva,7 LTZ (awd),CG MY18,2018,2010s,23990.0,economy,74000.0,average,Wagon,Automatic,Diesel,Used,2231.0,Silver,7
12791293,Kia,Picanto,S (aeb),JA MY19,2018,2010s,13888.0,budget,67260.0,average,Hatchback,Manual,Unleaded Petrol,Used,1248.0,Silver,5
