u5mr_both
313.4
11.4
11.8
185.2
11.2
209.3
109.5
34.0
7.3
72.8
52.4
9.0
107.9
180.1
13.5
15.3
35.0
4.0
239.9
303.2
163.3
252.4
82.0
30.0
220.9
104.1
17.2
20.4
21.8
188.5
169.5
9.4
16.5
134.7
135.5
4.9
212.7
66.2
51.0
69.3
153.4
203.3
208.0
8.7
12.6
168.2
207.5
112.3
53.1
34.1
102.6
5.2
20.4
99.2
13.1
167.6
262.6
133.7
40.6
196.3
209.2
106.0
49.8
14.4
67.6
126.9
10.0
140.0
171.2
105.1
36.3
10.9
5.7
5.1
19.6
50.7
116.2
12.4
200.1
170.3
18.6
58.3
12.1
26.0
78.8
62.8
268.6
46.9
9.1
105.6
146.9
59.8
5.6
4.9
19.0
90.7
7.6
10.4
39.8
127.6
141.4
136.2
121.8
28.6
126.7
203.9
13.3
5.2
91.3
117.2
31.6
7.4
51.4
7.6
76.9
16.1
41.7
139.9
7.1
26.3
47.1
16.0
43.2
79.6
147.6
118.5
27.3
27.7
5.3
15.7
3.0
210.9
171.1
145.4
222.2
214.9
11.2
48.3
176.4
177.2
121.5
35.1
204.9
22.9
6.6
61.0
34.8
226.4
59.1
97.8
208.6
30.0
32.5
14.1
22.8
83.5
93.5
102.2
19.4
146.0
56.0
21.0
3.7
8.3
34.9
4.7
49.9
68.6
252.2
18.4
232.0
181.5
120.5
6.5
27.8
52.8
51.7
14.3
16.9
20.4
52.8
169.9
70.5
82.3
196.0
8.7
40.4
28.4
9.5
36.7
43.7
124.9
173.4
27.9
168.6
70.4
206.1
7.5
212.2
101.4
116.6
137.4
42.6
31.3
3.8
103.2
50.3
84.3
26.5
6.4
16.8
76.3
285.1
84.5
22.3
80.8
52.8
51.8
102.9
21.5
28.9
18.1
25.0
24.5
6.6
93.9
220.8
15.1
29.0
258.0
241.1
18.2
129.3
82.1
5.5
65.5
5.3
9.3
103.6
10.9
59.0
168.2
145.5
6.8
98.1
36.9
240.1
13.3
147.1
6.9
109.9
310.6
31.6
188.1
27.1
9.9
12.9
241.0
13.8
91.8
40.3
118.9
4.7
87.7
25.9
12.4
229.4
11.5
49.2
177.8
60.1
75.9
175.4
77.7
230.9
35.5
111.9
150.2
30.5
89.6
51.7
153.0
238.2
166.4
27.3
22.9
18.8
35.0
98.0
17.8
116.4
21.0
15.4
5.0
90.2
12.7
104.3
56.5
169.6
242.1
223.7
22.9
111.8
7.0
43.3
144.2
41.8
43.1
260.2
117.3
6.9
177.4
9.6
164.6
179.0
23.0
54.6
86.7
67.1
66.4
55.6
140.6
78.6
3.6
6.6
24.1
11.8
54.7
109.0
43.9
25.3
168.4
9.7
70.6
4.4
116.2
48.0
39.7
166.4
32.2
51.9
8.4
274.0
177.3
230.6
6.9
126.0
9.2
244.7
198.0
49.2
57.5
140.6
54.4
26.1
68.0
87.2
17.3
38.8
12.5
75.7
78.2
7.6
10.1
170.4
18.1
165.1
32.1
65.1
205.9
31.7
67.7
68.9
10.6
23.0
88.7
15.7
151.2
23.7
18.8
181.6
34.2
18.6
54.7
5.8
112.3
38.0
160.9
28.3
65.4
26.2
22.4
142.8
77.2
305.7
250.8
147.7
23.2
219.8
14.4
91.0
35.6
10.1
189.4
155.9
168.6
6.0
60.5
265.8
17.9
154.6
66.6
170.9
197.7
5.8
21.8
103.4
253.0
68.2
152.3
51.2
242.3
320.69999999999993
117.9
105.7
18.3
174.9
7.6
94.8
13.3
19.5
40.6
203.6
139.1
73.5
16.7
12.1
31.2
18.6
4.2
28.1
14.8
20.6
164.3
43.2
96.4
207.0
246.2
16.8
76.0
181.2
215.5
7.3
22.4
204.1
81.7
150.3
48.1
219.4
3.3
137.4
16.6
27.9
