iso_code,country,sex_ratio_trend,decade,sex_ratio_infant,sex_ratio_child,sex_ratio_under5,imr_male,imr_female,imr_both,cmr_male,cmr_female,cmr_both,u5mr_male,u5mr_female,u5mr_both,method,decade_num,has_trend,infant_child_ratio,under5_child_ratio,imr_sex_gap,u5mr_sex_gap,method_Average,method_Linear,method_Loess,country_freq,region,region_East Asia & Pacific,region_Europe & Central Asia,region_Middle East & South Asia,region_Northern Africa,region_Oceania,region_Sub-Saharan Africa
634,Qatar,Y,1980s,105.0,127.0,109,26.0,24.8,25.4,7.1,5.6,6.4,32.9,30.3,31.6,Linear,1980,1,3.9687499999999996,4.9375,1.1999999999999993,2.599999999999998,False,True,False,3,Oceania,False,False,False,False,True,False
634,Qatar,Y,1990s,111.0,132.0,113,17.0,15.4,16.3,3.1,2.4,2.8,20.1,17.8,19.0,Linear,1990,1,5.821428571428572,6.7857142857142865,1.5999999999999996,2.3000000000000007,False,True,False,3,Oceania,False,False,False,False,True,False
634,Qatar,Y,2000s,116.0,125.0,118,10.7,9.3,10.0,2.6,2.1,2.4,13.3,11.3,12.4,Linear,2000,1,4.166666666666667,5.166666666666667,1.3999999999999986,2.0,False,True,False,3,Oceania,False,False,False,False,True,False
410,Republic of Korea,Y,1970s,107.0,110.0,108,36.9,34.4,35.7,12.2,11.1,11.7,48.6,45.0,46.9,Linear,1970,1,3.0512820512820515,4.0085470085470085,2.5,3.6000000000000014,False,True,False,4,East Asia & Pacific,True,False,False,False,False,False
410,Republic of Korea,Y,1980s,108.0,115.0,110,20.4,18.9,19.7,6.8,6.0,6.4,27.1,24.8,26.0,Linear,1980,1,3.0781249999999996,4.0625,1.5,2.3000000000000007,False,True,False,4,East Asia & Pacific,True,False,False,False,False,False
410,Republic of Korea,Y,1990s,109.0,119.0,111,8.5,7.8,8.2,2.8,2.4,2.6,11.3,10.2,10.8,Linear,1990,1,3.1538461538461533,4.153846153846154,0.7000000000000002,1.1000000000000014,False,True,False,4,East Asia & Pacific,True,False,False,False,False,False
410,Republic of Korea,Y,2000s,109.0,126.0,113,4.7,4.3,4.5,1.4,1.1,1.3,6.1,5.4,5.8,Linear,2000,1,3.4615384615384612,4.461538461538462,0.40000000000000036,0.6999999999999993,False,True,False,4,East Asia & Pacific,True,False,False,False,False,False
642,Romania,Y,1970s,120.0,114.0,119,44.9,37.5,41.3,10.4,9.2,9.8,54.9,46.3,50.7,Loess,1970,1,4.2142857142857135,5.173469387755102,7.399999999999999,8.600000000000001,False,False,True,4,Oceania,False,False,False,False,True,False
642,Romania,Y,1980s,124.0,116.0,122,33.8,27.2,30.6,9.5,8.2,8.9,43.0,35.2,39.2,Loess,1980,1,3.438202247191011,4.404494382022472,6.599999999999998,7.799999999999997,False,False,True,4,Oceania,False,False,False,False,True,False
642,Romania,Y,1990s,125.0,120.0,124,29.2,23.3,26.3,6.6,5.5,6.1,35.6,28.6,32.2,Loess,1990,1,4.311475409836066,5.278688524590165,5.899999999999999,7.0,False,False,True,4,Oceania,False,False,False,False,True,False
642,Romania,Y,2000s,126.0,125.0,126,19.2,15.3,17.3,3.6,2.9,3.3,22.8,18.1,20.5,Loess,2000,1,5.242424242424243,6.212121212121213,3.8999999999999986,4.699999999999999,False,False,True,4,Oceania,False,False,False,False,True,False
643,Russian Federation,Y,1970s,133.0,121.0,130,34.2,25.8,30.1,7.0,5.8,6.4,40.9,31.4,36.3,Loess,1970,1,4.703125,5.671874999999999,8.400000000000002,9.5,False,False,True,4,Oceania,False,False,False,False,True,False
643,Russian Federation,Y,1980s,135.0,127.0,133,27.6,20.4,24.1,6.7,5.3,6.0,34.1,25.6,30.0,Loess,1980,1,4.016666666666667,5.0,7.200000000000003,8.5,False,False,True,4,Oceania,False,False,False,False,True,False
643,Russian Federation,Y,1990s,134.0,128.0,132,23.9,17.9,21.0,5.6,4.4,5.0,29.4,22.2,25.9,Loess,1990,1,4.2,5.18,6.0,7.199999999999999,False,False,True,4,Oceania,False,False,False,False,True,False
